dataset,image,mask,modality,iou,choice
BraTS2020,volume_120_slice_122.h5,volume_120_slice_122.h5,modality_0,0.660413,class_1_inverted
BraTS2020,volume_120_slice_122.h5,volume_120_slice_122.h5,modality_3,0.518409,class_1_inverted
BraTS2020,volume_168_slice_115.h5,volume_168_slice_115.h5,modality_0,0.114153,class_2_normal
BraTS2020,volume_168_slice_115.h5,volume_168_slice_115.h5,modality_3,0.402092,class_2_normal
BraTS2020,volume_296_slice_51.h5,volume_296_slice_51.h5,modality_0,0.928878,class_2_normal
BraTS2020,volume_296_slice_51.h5,volume_296_slice_51.h5,modality_3,0.864742,class_2_normal
BraTS2020,volume_51_slice_95.h5,volume_51_slice_95.h5,modality_0,0.939479,class_2_normal
BraTS2020,volume_51_slice_95.h5,volume_51_slice_95.h5,modality_3,0.581878,class_2_normal
BraTS2020,volume_222_slice_105.h5,volume_222_slice_105.h5,modality_0,0.934089,class_1_inverted
BraTS2020,volume_222_slice_105.h5,volume_222_slice_105.h5,modality_3,0.708709,class_2_normal
BraTS2020,volume_133_slice_81.h5,volume_133_slice_81.h5,modality_0,0.835262,class_2_normal
BraTS2020,volume_133_slice_81.h5,volume_133_slice_81.h5,modality_3,0.790090,class_2_normal
BraTS2020,volume_208_slice_91.h5,volume_208_slice_91.h5,modality_0,0.257673,class_2_normal
BraTS2020,volume_208_slice_91.h5,volume_208_slice_91.h5,modality_3,0.723438,class_2_normal
BraTS2020,volume_151_slice_128.h5,volume_151_slice_128.h5,modality_0,0.083394,class_2_normal
BraTS2020,volume_151_slice_128.h5,volume_151_slice_128.h5,modality_3,0.355601,class_2_normal
BraTS2020,volume_54_slice_65.h5,volume_54_slice_65.h5,modality_0,0.761354,class_1_inverted
BraTS2020,volume_54_slice_65.h5,volume_54_slice_65.h5,modality_3,0.495071,class_1_inverted
BraTS2020,volume_118_slice_92.h5,volume_118_slice_92.h5,modality_0,0.948261,class_1_inverted
BraTS2020,volume_118_slice_92.h5,volume_118_slice_92.h5,modality_3,0.784799,class_1_inverted
BraTS2020,volume_139_slice_82.h5,volume_139_slice_82.h5,modality_0,0.048320,class_2_normal
BraTS2020,volume_139_slice_82.h5,volume_139_slice_82.h5,modality_3,0.045067,class_1_normal
BraTS2020,volume_147_slice_114.h5,volume_147_slice_114.h5,modality_0,0.188473,class_2_normal
BraTS2020,volume_147_slice_114.h5,volume_147_slice_114.h5,modality_3,0.067469,class_2_normal
BraTS2020,volume_276_slice_118.h5,volume_276_slice_118.h5,modality_0,0.057776,class_2_normal
BraTS2020,volume_276_slice_118.h5,volume_276_slice_118.h5,modality_3,0.447433,class_2_normal
BraTS2020,volume_245_slice_91.h5,volume_245_slice_91.h5,modality_0,0.056104,class_2_normal
BraTS2020,volume_245_slice_91.h5,volume_245_slice_91.h5,modality_3,0.153226,class_1_inverted
BraTS2020,volume_200_slice_76.h5,volume_200_slice_76.h5,modality_0,0.042630,class_2_normal
BraTS2020,volume_200_slice_76.h5,volume_200_slice_76.h5,modality_3,0.449631,class_2_normal
BraTS2020,volume_138_slice_101.h5,volume_138_slice_101.h5,modality_0,0.749720,class_2_normal
BraTS2020,volume_138_slice_101.h5,volume_138_slice_101.h5,modality_3,0.700479,class_2_normal
BraTS2020,volume_299_slice_86.h5,volume_299_slice_86.h5,modality_0,0.270905,class_2_inverted
BraTS2020,volume_299_slice_86.h5,volume_299_slice_86.h5,modality_3,0.829765,class_2_normal
BraTS2020,volume_192_slice_113.h5,volume_192_slice_113.h5,modality_0,0.787194,class_2_normal
BraTS2020,volume_192_slice_113.h5,volume_192_slice_113.h5,modality_3,0.711827,class_2_normal
BraTS2020,volume_277_slice_107.h5,volume_277_slice_107.h5,modality_0,0.003222,class_2_normal
BraTS2020,volume_277_slice_107.h5,volume_277_slice_107.h5,modality_3,0.055944,class_2_normal
BraTS2020,volume_148_slice_110.h5,volume_148_slice_110.h5,modality_0,0.112151,class_2_normal
BraTS2020,volume_148_slice_110.h5,volume_148_slice_110.h5,modality_3,0.360033,class_2_normal
BraTS2020,volume_171_slice_78.h5,volume_171_slice_78.h5,modality_0,0.183282,class_2_normal
