image,mask,otsu_iou,otsu_choice,multi_otsu_iou,multi_otsu_choice,adaptive_iou,adaptive_choice,watershed_iou,watershed_choice,random_walker_iou,random_walker_choice,chan_vese_iou,chan_vese_choice,morphological_snakes_iou,morphological_snakes_choice
benign/benign (172).png,benign/benign (172)_mask.png,0.049248,inverted,0.061167,class_0_normal,0.065034,normal,0.049248,normal,0.059669,dark_normal,0.044830,normal,0.072756,inverted
malignant/malignant (85).png,malignant/malignant (85)_mask.png,0.288148,inverted,0.412428,class_0_normal,0.209084,inverted,0.288148,normal,0.370509,dark_normal,0.346877,normal,0.197773,normal
benign/benign (192).png,benign/benign (192)_mask.png,0.835303,inverted,0.677722,class_0_normal,0.081802,normal,0.835303,normal,0.361907,dark_normal,0.802829,normal,0.032827,normal
malignant/malignant (65).png,malignant/malignant (65)_mask.png,0.059696,inverted,0.625772,class_0_normal,0.039537,inverted,0.059699,normal,0.082786,dark_normal,0.061554,inverted,0.041660,normal
malignant/malignant (70).png,malignant/malignant (70)_mask.png,0.062625,inverted,0.069668,class_1_normal,0.049815,inverted,0.062639,normal,0.062722,dark_inverted,0.059039,normal,0.136370,inverted
malignant/malignant (123).png,malignant/malignant (123)_mask.png,0.173227,inverted,0.205805,class_2_inverted,0.187163,inverted,0.173227,normal,0.189315,dark_inverted,0.174114,normal,0.187836,normal
benign/benign (435).png,benign/benign (435)_mask.png,0.019281,inverted,0.565195,class_0_normal,0.077123,normal,0.019281,normal,0.554557,dark_normal,0.019825,normal,0.054223,inverted
benign/benign (249).png,benign/benign (249)_mask.png,0.095897,normal,0.111245,class_1_normal,0.042980,inverted,0.095614,inverted,0.077704,dark_inverted,0.097021,inverted,0.053434,normal
benign/benign (47).png,benign/benign (47)_mask.png,0.656820,inverted,0.802459,class_2_inverted,0.251075,normal,0.656820,normal,0.122154,dark_normal,0.633435,normal,0.075273,inverted
benign/benign (426).png,benign/benign (426)_mask.png,0.464159,normal,0.446020,class_0_inverted,0.290466,inverted,0.463399,inverted,0.456708,dark_inverted,0.471504,inverted,0.315904,normal
benign/benign (292).png,benign/benign (292)_mask.png,0.107059,inverted,0.094897,class_1_normal,0.052306,normal,0.107059,normal,0.065709,dark_inverted,0.086831,normal,0.041087,normal
benign/benign (345).png,benign/benign (345)_mask.png,0.385958,inverted,0.070334,class_0_normal,0.114822,normal,0.385958,normal,0.015433,dark_inverted,0.441959,normal,0.010219,normal
benign/benign (165).png,benign/benign (165)_mask.png,0.700368,inverted,0.564655,class_0_normal,0.446707,normal,0.700368,normal,0.012678,dark_inverted,0.627223,normal,0.010448,inverted
benign/benign (257).png,benign/benign (257)_mask.png,0.033368,inverted,0.183650,class_1_inverted,0.080918,normal,0.033368,normal,0.028917,dark_normal,0.033296,normal,0.030694,inverted
malignant/malignant (198).png,malignant/malignant (198)_mask.png,0.317174,normal,0.337173,class_2_normal,0.078426,inverted,0.316396,inverted,0.118114,dark_inverted,0.279203,inverted,0.129337,normal
malignant/malignant (96).png,malignant/malignant (96)_mask.png,0.265788,normal,0.296598,class_1_normal,0.190842,inverted,0.266186,inverted,0.289530,dark_inverted,0.268538,inverted,0.212141,normal
benign/benign (25).png,benign/benign (25)_mask.png,0.871725,inverted,0.768428,class_0_normal,0.124079,normal,0.871725,normal,0.832363,dark_normal,0.879064,normal,0.126765,inverted
malignant/malignant (131).png,malignant/malignant (131)_mask.png,0.075998,inverted,0.077169,class_0_normal,0.046440,inverted,0.075998,normal,0.063651,dark_inverted,0.076269,inverted,0.052273,normal
benign/benign (55).png,benign/benign (55)_mask.png,0.040860,inverted,0.047811,class_0_normal,0.037127,normal,0.040860,normal,0.036828,dark_normal,0.037727,normal,0.020142,normal
