image,mask,otsu_iou,otsu_choice,multi_otsu_iou,multi_otsu_choice,adaptive_iou,adaptive_choice,chan_vese_iou,chan_vese_choice,watershed_iou,watershed_choice
malignant (104).png,malignant (104)_mask.png,0.2941194619276811,inverted,0.2690207563314309,class_0_normal,0.18854984677769487,inverted,0.2911056911796909,normal,0.2941194619276811,normal
benign (151).png,benign (151)_mask.png,0.8393889347646573,inverted,0.73557278208441,class_0_normal,0.31209642703400775,normal,0.816359918200409,normal,0.8393889347646573,normal
malignant (124).png,malignant (124)_mask.png,0.2156964835391182,inverted,0.21720920527037502,class_2_inverted,0.1663107021248032,inverted,0.2123036742025834,normal,0.2156964835391182,normal
benign (58).png,benign (58)_mask.png,0.27157393947403197,inverted,0.1800555894515626,class_0_normal,0.091925971120602,normal,0.26779908433415167,normal,0.27157393947403197,normal
benign (425).png,benign (425)_mask.png,0.7194630872483222,inverted,0.6104549854791869,class_0_normal,0.1985788361820626,normal,0.7142309167625623,normal,0.7194630872483222,normal
benign (341).png,benign (341)_mask.png,0.2031551612732807,inverted,0.30952380952380953,class_0_normal,0.14726406132915112,inverted,0.19475862068965516,normal,0.2031551612732807,normal
benign (11).png,benign (11)_mask.png,0.02166719285321734,inverted,0.8535425582501189,class_0_normal,0.5133004926108374,normal,0.042666543129806354,normal,0.02166719285321734,normal
malignant (183).png,malignant (183)_mask.png,0.3216631237223328,inverted,0.33307971531377306,class_0_normal,0.22344518059414406,inverted,0.323432780641606,normal,0.3217549032262447,normal
benign (246).png,benign (246)_mask.png,0.16456211812627292,inverted,0.6327180140038192,class_0_normal,0.13548830811554333,normal,0.16558265582655826,normal,0.16456211812627292,normal
benign (51).png,benign (51)_mask.png,0.731996353691887,inverted,0.6349496797804208,class_0_normal,0.5893019038984587,normal,0.7108874656907593,normal,0.731996353691887,normal
benign (390).png,benign (390)_mask.png,0.8029315960912052,inverted,0.6847497089639115,class_2_inverted,0.11387276907916348,normal,0.8329345225146835,normal,0.8029315960912052,normal
benign (333).png,benign (333)_mask.png,0.1666197808243156,normal,0.21305931160697172,class_1_normal,0.1019411664954264,inverted,0.19742414540716027,inverted,0.16704638828714424,inverted
malignant (82).png,malignant (82)_mask.png,0.138039318869511,inverted,0.2174111366400865,class_1_normal,0.11963544070143055,inverted,0.13237781381318547,normal,0.138039318869511,normal
malignant (65).png,malignant (65)_mask.png,0.05969608666304473,inverted,0.6257719426209579,class_0_normal,0.03953681106789162,inverted,0.061553830784600014,inverted,0.059699231779880076,normal
benign (310).png,benign (310)_mask.png,0.07380600098639048,normal,0.4233846823798378,class_0_normal,0.06450032658393207,normal,0.4859315589353612,normal,0.07395100944988636,inverted
benign (350).png,benign (350)_mask.png,0.4495620634493245,inverted,0.20590482772718643,class_1_normal,0.12695289312354283,inverted,0.4852778041900415,normal,0.4495620634493245,normal
